Landmark,X,Y,Z,Visibility
0,0.5139768123626709,0.7229682207107544,-6.087705628488038e-08,0.0
1,0.48437002301216125,0.6935533285140991,-0.010868389159440994,0.0
2,0.4718337953090668,0.6195225715637207,-0.017643088474869728,0.0
3,0.48789840936660767,0.5760658979415894,-0.026249146088957787,0.0
4,0.515457034111023,0.5910842418670654,-0.03311556577682495,0.0
5,0.5055086016654968,0.5431624054908752,-0.005171910393983126,0.0
6,0.5105292797088623,0.47408849000930786,-0.023276198655366898,0.0
7,0.495038777589798,0.4713318645954132,-0.03528204187750816,0.0
8,0.48882216215133667,0.5034154057502747,-0.04093256965279579,0.0
9,0.5265436768531799,0.5474402904510498,-0.00974456686526537,0.0
10,0.539218008518219,0.46623092889785767,-0.028885606676340103,0.0
11,0.5194318294525146,0.4679996371269226,-0.03616762161254883,0.0
12,0.51168292760849,0.5073336958885193,-0.035918738692998886,0.0
13,0.5449275970458984,0.5667652487754822,-0.017325224354863167,0.0
14,0.5582755208015442,0.4897163510322571,-0.030717240646481514,0.0
15,0.5421510338783264,0.4949401915073395,-0.03003654256463051,0.0
16,0.5370109677314758,0.5302026271820068,-0.024991683661937714,0.0
17,0.5635846853256226,0.5943623185157776,-0.027064627036452293,0.0
18,0.57279372215271,0.5348623394966125,-0.03601442649960518,0.0
19,0.5608461499214172,0.5320193767547607,-0.035815756767988205,0.0
20,0.5539391040802002,0.5596374869346619,-0.03236698359251022,0.0
