Landmark,X,Y,Z,Visibility
0,0.7015848755836487,0.6761969327926636,1.2142176331053633e-07,0.0
1,0.6740946173667908,0.6540040373802185,-0.012488240376114845,0.0
2,0.6456854343414307,0.60405033826828,-0.023440705612301826,0.0
3,0.6191838383674622,0.5668999552726746,-0.03461664542555809,0.0
4,0.6006412506103516,0.531489908695221,-0.04509567469358444,0.0
5,0.6700416803359985,0.5217655301094055,-0.011087192222476006,0.0
6,0.6442469358444214,0.47877219319343567,-0.032291900366544724,0.0
7,0.6212827563285828,0.483838826417923,-0.04882916808128357,0.0
8,0.6046673059463501,0.4976930320262909,-0.057602714747190475,0.0
9,0.6873517632484436,0.5049991011619568,-0.015030949376523495,0.0
10,0.6673318147659302,0.4300801753997803,-0.030967187136411667,0.0
11,0.6529515385627747,0.3806925415992737,-0.04101824015378952,0.0
12,0.640174925327301,0.3330625891685486,-0.04653209075331688,0.0
13,0.7091353535652161,0.508599579334259,-0.021857386454939842,0.0
14,0.7016720175743103,0.42677778005599976,-0.038001254200935364,0.0
15,0.6996792554855347,0.3737281560897827,-0.0430443249642849,0.0
16,0.6962858438491821,0.32611992955207825,-0.044245194643735886,0.0
17,0.7308040857315063,0.5269892811775208,-0.029718589037656784,0.0
18,0.7361375093460083,0.4628080427646637,-0.042138706892728806,0.0
19,0.7413192987442017,0.4168076515197754,-0.04355653375387192,0.0
20,0.7444271445274353,0.3729652762413025,-0.042887359857559204,0.0
