Landmark,X,Y,Z,Visibility
0,0.31460028886795044,0.5417972803115845,2.1889879064929119e-07,0.0
1,0.3430645763874054,0.5332728028297424,-0.006009059492498636,0.0
2,0.3766937255859375,0.504469633102417,-0.017365412786602974,0.0
3,0.40647804737091064,0.49081334471702576,-0.03005487285554409,0.0
4,0.43539461493492126,0.4827812910079956,-0.0435524582862854,0.0
5,0.35804063081741333,0.44028133153915405,-0.022159310057759285,0.0
6,0.3927294611930847,0.4275704026222229,-0.04390301927924156,0.0
7,0.4205082654953003,0.4240083694458008,-0.05838841199874878,0.0
8,0.44139954447746277,0.4138782322406769,-0.06759604066610336,0.0
9,0.3365001380443573,0.42988327145576477,-0.028910083696246147,0.0
10,0.37668684124946594,0.44120892882347107,-0.05272955074906349,0.0
11,0.37425148487091064,0.4931839406490326,-0.05595218390226364,0.0
12,0.36255237460136414,0.5108015537261963,-0.05480564013123512,0.0
13,0.3191210925579071,0.4425504207611084,-0.03653886541724205,0.0
14,0.3613441288471222,0.45515260100364685,-0.059561312198638916,0.0
15,0.3599201738834381,0.5040945410728455,-0.05177012458443642,0.0
16,0.34637853503227234,0.5138904452323914,-0.04217711463570595,0.0
17,0.30605703592300415,0.4635622799396515,-0.04444076865911484,0.0
18,0.34278440475463867,0.47561031579971313,-0.05837174504995346,0.0
19,0.343649297952652,0.5066990852355957,-0.051141563802957535,0.0
20,0.3316325843334198,0.5123544931411743,-0.04371142387390137,0.0
