Landmark,X,Y,Z,Visibility
0,0.4124915599822998,0.6171411275863647,4.662910768615802e-08,0.0
1,0.4524511396884918,0.5995783805847168,-0.02685588411986828,0.0
2,0.4891696870326996,0.554850697517395,-0.04231548681855202,0.0
3,0.5220734477043152,0.5243682265281677,-0.056248102337121964,0.0
4,0.5527522563934326,0.5142988562583923,-0.07007031887769699,0.0
5,0.45229828357696533,0.43672043085098267,-0.024674372747540474,0.0
6,0.4517379105091095,0.3510134220123291,-0.042483579367399216,0.0
7,0.4498140215873718,0.2934565544128418,-0.05318531021475792,0.0
8,0.44617366790771484,0.2478843778371811,-0.06086614727973938,0.0
9,0.42456626892089844,0.4439260959625244,-0.021726500242948532,0.0
10,0.41868019104003906,0.40416067838668823,-0.05134468898177147,0.0
11,0.4229186773300171,0.4741578996181488,-0.0565590038895607,0.0
12,0.4271356165409088,0.518940269947052,-0.05296890065073967,0.0
13,0.4002307057380676,0.46226102113723755,-0.021652888506650925,0.0
14,0.39500609040260315,0.4346843361854553,-0.05085750296711922,0.0
15,0.40459173917770386,0.49928638339042664,-0.04454999789595604,0.0
16,0.41050705313682556,0.535940408706665,-0.032286908477544785,0.0
17,0.3777490556240082,0.48602616786956787,-0.023945704102516174,0.0
18,0.3747180700302124,0.456760436296463,-0.04386323317885399,0.0
19,0.38509097695350647,0.5034058690071106,-0.0384388230741024,0.0
20,0.3922021687030792,0.5326541066169739,-0.029109086841344833,0.0
