Landmark,X,Y,Z,Visibility
0,0.2788775563240051,0.6478562355041504,-2.9380092314568174e-07,0.0
1,0.34019166231155396,0.6034810543060303,-0.033180344849824905,0.0
2,0.36672869324684143,0.4880925118923187,-0.050536658614873886,0.0
3,0.30459824204444885,0.4181598722934723,-0.06694324314594269,0.0
4,0.25151488184928894,0.3702238202095032,-0.07764589041471481,0.0
5,0.37965166568756104,0.39765095710754395,-0.015947425737977028,0.0
6,0.40285563468933105,0.31739264726638794,-0.057749971747398376,0.0
7,0.3952019512653351,0.3853467106819153,-0.08464332669973373,0.0
8,0.3837912082672119,0.45226776599884033,-0.09664589911699295,0.0
9,0.3246220052242279,0.3935169279575348,-0.018017934635281563,0.0
10,0.3498058617115021,0.3089722692966461,-0.06421678513288498,0.0
11,0.34795236587524414,0.3996693789958954,-0.08153946697711945,0.0
12,0.3437930941581726,0.47242486476898193,-0.08160752058029175,0.0
13,0.2716558873653412,0.4029742479324341,-0.027262715622782707,0.0
14,0.2906515896320343,0.3089582920074463,-0.0728050246834755,0.0
15,0.3045405447483063,0.40368151664733887,-0.0746668353676796,0.0
16,0.30870214104652405,0.47185853123664856,-0.06449434906244278,0.0
17,0.22054129838943481,0.4292804002761841,-0.039035458117723465,0.0
18,0.25025609135627747,0.4060092270374298,-0.0777304619550705,0.0
19,0.2704022526741028,0.4772440195083618,-0.08057913929224014,0.0
20,0.2772643268108368,0.5224704742431641,-0.07399020344018936,0.0
