Landmark,X,Y,Z,Visibility
0,0.35147956013679504,0.7470160722732544,-4.4366277052176883e-07,0.0
1,0.40765655040740967,0.7051039338111877,-0.0338505357503891,0.0
2,0.4382193684577942,0.6126112341880798,-0.04993489384651184,0.0
3,0.41632306575775146,0.5351489782333374,-0.06344573199748993,0.0
4,0.38232624530792236,0.48881995677948,-0.06859879940748215,0.0
5,0.43023931980133057,0.5024133920669556,-0.02157389186322689,0.0
6,0.4500373303890228,0.43521007895469666,-0.06484586000442505,0.0
7,0.45067015290260315,0.5090571641921997,-0.08356216549873352,0.0
8,0.44111475348472595,0.5422903895378113,-0.09132389724254608,0.0
9,0.37827321887016296,0.49979230761528015,-0.022511351853609085,0.0
10,0.3979015052318573,0.4453977346420288,-0.0674259215593338,0.0
11,0.4082139730453491,0.5275183916091919,-0.07617989182472229,0.0
12,0.40132105350494385,0.5469669103622437,-0.07155252248048782,0.0
13,0.3323109447956085,0.5194513201713562,-0.03077230416238308,0.0
14,0.35328561067581177,0.5303864479064941,-0.07479795068502426,0.0
15,0.3734072744846344,0.5990663170814514,-0.07055322825908661,0.0
16,0.3693259060382843,0.6018581986427307,-0.05748903006315231,0.0
17,0.2924577593803406,0.5500984191894531,-0.042125772684812546,0.0
18,0.326377809047699,0.5844090580940247,-0.06854981184005737,0.0
19,0.3465798795223236,0.631170392036438,-0.06537526100873947,0.0
20,0.3425888121128082,0.6286267638206482,-0.056680481880903244,0.0
