Landmark,X,Y,Z,Visibility
0,0.6427329778671265,0.3445003628730774,1.6740102637413656e-08,0.0
1,0.6230117082595825,0.29977816343307495,-0.008234555833041668,0.0
2,0.6186387538909912,0.24865107238292694,-0.011771608144044876,0.0
3,0.6233431100845337,0.20705819129943848,-0.01691410504281521,0.0
4,0.6250889301300049,0.16839171946048737,-0.02142510749399662,0.0
5,0.6204636693000793,0.2052946835756302,0.012723895721137524,0.0
6,0.618707537651062,0.1613706350326538,-0.0014513124478980899,0.0
7,0.6183847784996033,0.14665919542312622,-0.01805456541478634,0.0
8,0.6193033456802368,0.15370193123817444,-0.027964886277914047,0.0
9,0.637078583240509,0.2025250941514969,0.010074437595903873,0.0
10,0.6372993588447571,0.1446782648563385,-0.0037600002251565456,0.0
11,0.6344208717346191,0.1277487725019455,-0.022620664909482002,0.0
12,0.629145085811615,0.13475671410560608,-0.034552015364170074,0.0
13,0.6519666314125061,0.20829643309116364,0.004230096470564604,0.0
14,0.6577799916267395,0.15147370100021362,-0.00885325763374567,0.0
15,0.6507311463356018,0.13324038684368134,-0.025194920599460602,0.0
16,0.6409301161766052,0.14344339072704315,-0.03485557809472084,0.0
17,0.6663259267807007,0.22211162745952606,-0.0024756428319960833,0.0
18,0.6625486016273499,0.1854836493730545,-0.01331332977861166,0.0
19,0.6530593037605286,0.16548912227153778,-0.023974265903234482,0.0
20,0.6412183046340942,0.16114889085292816,-0.03102322295308113,0.0
