Landmark,X,Y,Z,Visibility
0,0.36449089646339417,0.6802718043327332,7.028670552244876e-07,0.0
1,0.3936118483543396,0.6446865797042847,-0.028601741418242455,0.0
2,0.3991638123989105,0.5926928520202637,-0.04447954520583153,0.0
3,0.3697103261947632,0.5704991817474365,-0.057673729956150055,0.0
4,0.33869633078575134,0.5574398636817932,-0.06975728273391724,0.0
5,0.3886261284351349,0.4754873216152191,-0.03318857029080391,0.0
6,0.39737406373023987,0.38446691632270813,-0.05765119567513466,0.0
7,0.404064804315567,0.3250887989997864,-0.07280885428190231,0.0
8,0.40940725803375244,0.2755613327026367,-0.08118689060211182,0.0
9,0.3562817871570587,0.47708770632743835,-0.03343195095658302,0.0
10,0.35044360160827637,0.37212398648262024,-0.0587996169924736,0.0
11,0.3441297709941864,0.3066593408584595,-0.07478688657283783,0.0
12,0.338710755109787,0.24910010397434235,-0.08157485723495483,0.0
13,0.33000507950782776,0.5072898268699646,-0.03583782911300659,0.0
14,0.317871630191803,0.4720660150051117,-0.07380891591310501,0.0
15,0.33547526597976685,0.5329790711402893,-0.08265472948551178,0.0
16,0.34829413890838623,0.5723540782928467,-0.077318474650383,0.0
17,0.3108823597431183,0.5563536286354065,-0.039285365492105484,0.0
18,0.31142163276672363,0.5364770889282227,-0.07254658639431,0.0
19,0.3327234089374542,0.5764099955558777,-0.07530010491609573,0.0
20,0.3479621112346649,0.6061000227928162,-0.0686068907380104,0.0
