Landmark,X,Y,Z,Visibility
0,0.5955710411071777,0.3839130401611328,-2.794603801703488e-07,0.0
1,0.5648358464241028,0.3396793007850647,-0.010225769132375717,0.0
2,0.5425960421562195,0.2816994786262512,-0.016374384984374046,0.0
3,0.5289838910102844,0.23329496383666992,-0.023420393466949463,0.0
4,0.5154762864112854,0.1998429149389267,-0.027593467384576797,0.0
5,0.5736519694328308,0.23427630960941315,-0.0035153806675225496,0.0
6,0.5800610780715942,0.20645904541015625,-0.019195251166820526,0.0
7,0.5776363611221313,0.25193074345588684,-0.026611121371388435,0.0
8,0.5740274786949158,0.2844511866569519,-0.028585433959960938,0.0
9,0.5958306193351746,0.24382705986499786,-0.004518427886068821,0.0
10,0.6003364324569702,0.22055527567863464,-0.025167489424347878,0.0
11,0.5940306782722473,0.2752847969532013,-0.03182636573910713,0.0
12,0.5883876085281372,0.3104417324066162,-0.03129180893301964,0.0
13,0.6155597567558289,0.25741347670555115,-0.007969502359628677,0.0
14,0.6206404566764832,0.23550711572170258,-0.02780412882566452,0.0
15,0.610744833946228,0.28306713700294495,-0.02734655700623989,0.0
16,0.6011192798614502,0.3154292702674866,-0.020692981779575348,0.0
17,0.6327442526817322,0.2746606171131134,-0.011965509504079819,0.0
18,0.6422058939933777,0.23515941202640533,-0.02235385775566101,0.0
19,0.6488805413246155,0.21332453191280365,-0.022810518741607666,0.0
20,0.6537163853645325,0.18929137289524078,-0.02004224993288517,0.0
